wards_code,wards_name,fem_exp,male_exp,nondepri_share,act_share
E05003348,Carsington Water,N/A - not available,N/A - not available,0.5384615384615384,0.5980392156862745
E05003349,Chatsworth,N/A - not available,N/A - not available,0.5803814713896458,0.5130246020260492
E05003350,Clifton and Bradley,N/A - not available,N/A - not available,0.5572519083969466,0.575566750629723
E05003351,Darley Dale,85.6,80.7,0.4945875326614408,0.5157031406281256
E05003352,Dovedale and Parwich,N/A - not available,N/A - not available,0.5099431818181818,0.5887509130752374
E05003353,Doveridge and Sudbury,88.6,84.2,0.5486631016042781,0.5141120277898393
E05003354,Hartington and Taddington,N/A - not available,N/A - not available,0.5,0.6311706629055007
E05003355,Hathersage and Eyam,84.8,85.1,0.5808383233532934,0.5584170854271356
E05003356,Hulland,N/A - not available,N/A - not available,0.5668711656441717,0.5522670025188917
E05003357,Lathkill and Bradford,N/A - not available,N/A - not available,0.5085227272727273,0.5409090909090909
E05003358,Litton and Longstone,N/A - not available,N/A - not available,0.5876436781609196,0.5563012677106637
E05003359,Masson,83,79.3,0.5120845921450151,0.5566343042071198
E05003360,Matlock All Saints,89.1,80.7,0.5322020825298882,0.577388672719412
E05003361,Matlock St Giles,83.5,78.4,0.4756903928432516,0.5457028787560412
E05003362,Norbury,N/A - not available,N/A - not available,0.5625879043600562,0.6429061000685401
E05003363,Stanton,N/A - not available,N/A - not available,0.5716096324461344,0.6283128636069812
E05003364,Tideswell,N/A - not available,N/A - not available,0.5206508135168961,0.5629680054458815
E05003365,Winster and South Darley,N/A - not available,N/A - not available,0.531628532974428,0.5056417489421721
E05003366,Wirksworth,85,80.2,0.5199409158050221,0.5580547112462007
E05005408,Blaby South,86.6,80.1,0.4968916518650089,0.5987841945288754
E05005409,Cosby with South Whetstone,87.8,82.9,0.5755395683453237,0.6603944683745182
E05005410,Countesthorpe,86.1,81.1,0.5591236494597839,0.6129878142835107
E05005411,Croft Hill,85.4,83.6,0.4980988593155893,0.6104398260028999
E05005412,Ellis,86.7,81.5,0.5402345329559239,0.6283185840707964
E05005413,Enderby and St John's,85.2,78.9,0.5361879499810535,0.6933115823817292
E05005414,Fairestone,87.5,80.2,0.4826560951437066,0.5567314792025597
E05005416,Millfield,88.4,80.9,0.4246935201401051,0.6069651741293532
E05005417,Muxloe,86.2,82.6,0.5479744136460555,0.5549132947976878
E05005418,Narborough and Littlethorpe,86.2,79.6,0.5570101351351351,0.6546811397557666
E05005419,Normanton,84.3,81.1,0.5426421404682275,0.6348122866894198
E05005420,North Whetstone,84.2,80.1,0.533273782938812,0.6647291327598233
E05005421,Pastures,84.9,82.2,0.5979539641943734,0.6405506883604506
E05005422,Ravenhurst and Fosse,84.8,81.4,0.4639027877055039,0.6364869447270262
E05005423,Saxondale,84.3,80.3,0.507537688442211,0.6117782530021385
E05005424,Stanton and Flamville,82,81.7,0.573736855604001,0.6306198457036446
E05005426,Anstey,86.6,82.3,0.5322145639796224,0.6340255591054313
E05005427,Barrow and Sileby West,84.8,82,0.5661080074487895,0.624709398870807
E05005428,Birstall Wanlip,85.7,83.6,0.5802000689893066,0.6527372853903466
E05005429,Birstall Watermead,86.3,80.2,0.4789090909090909,0.6023034011157099
E05005430,East Goscote,82.5,79.7,0.5436123348017621,0.6166174609869254
E05005431,Forest Bradgate,86.7,85.1,0.6338757396449705,0.5516381766381766
E05005432,Loughborough Ashby,84.6,76.7,0.4031531531531531,0.2533313370265009
E05005433,Loughborough Dishley and Hathern,86.8,81.4,0.5418000711490573,0.6070359281437125
E05005434,Loughborough Garendon,81.7,79.6,0.5020032051282052,0.5479253112033196
E05005435,Loughborough Hastings,82.1,77.4,0.4307394252502421,0.6085460800289698
E05005436,Loughborough Lemyngton,78.9,74.5,0.4441821247892074,0.5835423983943804
E05005437,Loughborough Nanpantan,87.7,82.3,0.610828025477707,0.3940585408475316
E05005438,Loughborough Outwoods,88.7,82.1,0.5556040122110771,0.5120395143033546
E05005439,Loughborough Shelthorpe,85,79.6,0.5397422126745435,0.6808910359634998
E05005440,Loughborough Southfields,83.3,77.5,0.4910607866507747,0.3625486521551103
E05005441,Loughborough Storer,79.9,74.2,0.4327131112072696,0.3911050755389577
E05005442,Mountsorrel,84.2,80.2,0.5559178350179328,0.654955427372837
E05005443,Queniborough,87.6,80.7,0.5838150289017341,0.6398359395026916
E05005444,Quorn and Mountsorrel Castle,86.3,82.4,0.5975155279503106,0.5997683653209794
E05005445,Rothley and Thurcaston,86.8,81.6,0.6383601756954612,0.6352729454109178
E05005446,Shepshed East,80.1,78,0.5243543641712978,0.6072223173027554
E05005447,Shepshed West,82.7,79.7,0.527972027972028,0.6215550423402617
E05005448,Sileby,86.2,80.3,0.5318489289740699,0.6669147194522994
E05005449,Syston East,83.4,80.6,0.5063460253841016,0.6215709660930313
