code,label,obesity_nq5,low_birth_wgt,male_exp,fem_exp,unemploy,deprivation,obesity_prevalence
E05006380,Clayworth,1 - Quintile 1 Highest 20%,N/A - not available,N/A - not available,N/A - not available,3,12.9,N/A - not available
E05006381,East Markham,2 - Quintile 2,4.7,79,87.2,1.6,14.2,16.7
E05006382,East Retford East,1 - Quintile 1 Highest 20%,7.4,77,81.3,5.1,23.3,29.7
E05006383,East Retford North,2 - Quintile 2,5.9,78.2,82.3,3.3,19.9,31.2
E05006384,East Retford South,2 - Quintile 2,6.5,76.4,84.5,4.3,23.5,22.7
E05006385,East Retford West,2 - Quintile 2,5.5,77.8,82,5.1,20.3,22.9
E05006386,Everton,2 - Quintile 2,7.1,82.5,86.2,2.3,13,14.3
E05006387,Harworth,2 - Quintile 2,8.2,77.7,81.1,5.1,30.1,25.9
E05006388,Langold,2 - Quintile 2,5.7,79.7,80.6,4.7,33.2,21.4
E05006389,Misterton,1 - Quintile 1 Highest 20%,7.5,77.6,80.5,3.7,14.6,23.1
E05006390,Rampton,5 - Quintile 5 Lowest 20%,N/A - not available,77.5,83.1,2.2,33.6,N/A - not available
E05006391,Ranskill,5 - Quintile 5 Lowest 20%,4.3,79.3,84.2,3.5,15.8,28.6
E05006392,Sturton,5 - Quintile 5 Lowest 20%,N/A - not available,82.6,88.4,2.7,8.9,25
E05006393,Sutton,5 - Quintile 5 Lowest 20%,5.5,79.6,79.6,2.5,23.4,N/A - not available
E05006394,Tuxford and Trent,5 - Quintile 5 Lowest 20%,7,80.8,82.6,3.3,19.3,25
E05006395,Welbeck,5 - Quintile 5 Lowest 20%,4.4,N/A - not available,N/A - not available,2.4,29.8,N/A - not available
E05006396,Worksop East,5 - Quintile 5 Lowest 20%,7.5,79.6,84.5,4.2,25.2,29.5
E05006397,Worksop North,5 - Quintile 5 Lowest 20%,5.1,79.1,81.8,2.3,14.4,25.4
E05006398,Worksop North East,5 - Quintile 5 Lowest 20%,5.6,79.1,82,3.1,16.9,25.8
E05006399,Worksop North West,5 - Quintile 5 Lowest 20%,7.7,76.9,80.6,4.4,24.1,22
E05006400,Worksop South,5 - Quintile 5 Lowest 20%,5.9,81.7,84.2,3.8,15.6,22.6
E05006401,Worksop South East,5 - Quintile 5 Lowest 20%,7.6,74.1,77.6,6.8,46.5,29.9
E05008520,Belper South,5 - Quintile 5 Lowest 20%,9.3,80.2,84.2,2.8,15.3,22.7
E05008521,Duffield,4 - Quintile 4,8.3,83.9,84.1,1.4,4,19
E05008522,Heanor East,4 - Quintile 4,8.1,80.9,81.7,3.8,19.6,25.9
E05008523,"Kilburn, Denby and Holbrook",5 - Quintile 5 Lowest 20%,6.2,81.3,84.6,2.2,12.1,22.6
E05008524,"Shipley Park, Horsley and Horsley Woodhouse",4 - Quintile 4,7.3,81,84.3,1.7,13.6,23.8
E05008809,Aston,5 - Quintile 5 Lowest 20%,8.6,81.5,87,2.5,8.7,20.9
E05008810,Church Gresley,5 - Quintile 5 Lowest 20%,8,78.6,82.1,3.1,15.9,26.7
E05008811,Etwall,3 - Quintile 3,7.6,77.7,82.3,1.8,9.2,21.4
E05008812,Hatton,2 - Quintile 2,9.9,81.6,86.3,2.3,13.6,27.3
E05008813,Hilton,3 - Quintile 3,7.2,81.8,84.2,1.9,8.6,23.4
E05008814,Linton,3 - Quintile 3,8.5,79.9,82.7,2.6,16.3,25
E05008815,Melbourne,3 - Quintile 3,4.6,81.3,87.8,2.5,7.4,13
E05008816,Midway,2 - Quintile 2,8.9,80,84.9,3.6,19.3,24.3
